Original,Simplified,Grammar,Meaning
"Prior to the arrival of the storm , the National Park Service closed visitor centers and campgrounds along the Outer Banks .
","Prior to the arrival of the storm , the National Park Service closed canals centers and campgrounds along the Outer Banks .
",8.8,7.8
"The Amazon Basin is the part of South America drained by the Amazon River and its tributaries .
","The Amazon Basin is the part of South America ashes by the Amazon River and its tributaries .
",8.8,6.6
"Because the owner tends to be unaware , these computers are metaphorically compared to zombies .
","Because the owner tends to be aware , these computers are metaphorically compared to zombies .
",9.6,7.2
"For example , the stylebook of the Associated Press is updated annually .
","For example , the stylebook of the Kortrijk Press is updated annually .
",9.0,5.4
"In the Soviet years , the Bolsheviks demolished two of Rostov 's principal landmarks - St Alexander Nevsky Cathedral ( 1908 ) and St George Cathedral in Nakhichevan ( 1783-1807 ) .
","In the Soviet years , the Bolsheviks 11th two of Rostov 's principal landmarks - St Alexander Cathedral in Nakhichevan ( 1908 ) .
",7.2,4.6
"He died on May 29 , 1518 in Madrid , Spain and was buried in the church of San Benito d 'Alcantara .
","He died on May 29 , Ephedra in Madrid , Spain and was buried in the church of San Benito d 'Alcantara .
",8.2,5.6
"This was demonstrated in the Miller-Urey experiment by Stanley L. Miller and Harold C. Urey in 1953 .
","This was demonstrated in the Miller-Urey experiment by Stanley L. Miller and Harold C. Ga in 1953 .
",9.2,6.8
"Cogeneration ( also combined heat and power , CHP ) is the use of a heat engine or a power station to simultaneously generate both electricity and useful heat .
","Cogeneration ( also combined heat and power , creeks ) is the use of a heat engine or a power station to simultaneously generate both electricity and useful heat .
",9.0,8.6
"On occasion the male "" den master "" will also allow a second male into the den ; the reason for this is unclear .
","On everyone the male Stift Khrunichev master hydride will also allow a second male into the den ; the reason for this is unclear .
",8.0,4.8
"A Wikipedia gadget is a JavaScript and / or a CSS snippet that can be enabled simply by checking an option in your Wikipedia preferences .
","A Wikipedia gadget is a Illuminated and / or a CSS snippet that can be aroused simply by Reflection Wikipedia preferences .
",7.6,4.6
"Below are some useful links to facilitate your involvement .
","Below are some useful links to facilitate your decoration .
",8.8,6.0
"James I appointed him a Gentleman of the Chapel Royal , where he served as an organist from at least 1615 until his death .
","James I appointed him a Islas of the Chapel Royal , where he served as an organist from at least 1849 until his death .
",8.4,4.4
"Dry air wrapping around the southern periphery of the cyclone eroded most of the deep convection by early on September 12 .
","Dry air wrapping around the southern Titanic of the cyclone eroded most of the deep convection by early on September 12 .
",9.0,6.8
"Eva Anna Paula Braun , died Eva Anna Paula Hitler ( 6 February 1912 – 30 April 1945 ) was the longtime companion and , for a brief time , wife of Adolf Hitler .
","Eva Anna Paula Evatt , died Eva Anna Dam Hitler ( 6 February 1912 cap 30 April 1945 ) was the longtime companion , wife of Adolf Hitler .
",7.2,5.6
"That same year he also received a mechanics certificate , becoming the youngest certificated airplane mechanic in New York .
","That same year he also received a mechanics certificate , becoming the youngest certificated airplane accreditation in New York .
",9.0,6.4
"SummerSlam ( 2009 ) is an upcoming professional wrestling pay-per-view event produced by World Wrestling Entertainment ( WWE ) , which will take place on August 23 , 2009 at Staples Center in Los Angeles , California .
","SummerSlam ( 2009 ) is an upcoming professional wrestling pay-per-view event produced by World Wrestling Entertainment ( 2009 at Staples Center in Los Angeles , California .
",6.8,6.6
"A few animals have chromatic response , changing color in changing environments , either seasonally ( ermine , snowshoe hare ) or far more rapidly with chromatophores in their integument ( the cephalopod family ) .
","A few animals have riboflavin response , changing color in changing environments , either seasonally ( ermine , snowshoe strokes ) or far more rapidly with chromatophores in their integument ( the cephalopod family ) .
",9.0,6.2
